Year,Cyclone Name,Formed,Dissipated,Fatalities,Damage
2005,Fanoos (Baaz/Pyarr merged system),2005-12-04,2005-12-08,~15 (approx),Not well documented
2008,Nisha,2008-11-25,2008-11-29,204,$800 million
2010,Jal,2010-11-01,2010-11-12,118 (India+Sri Lanka),$1.73 billion
2011,Thane,2011-12-25,2011-12-30,48,~$1 billion (reports range $235M-$1B)
2012,Nilam,2012-10-28,2012-11-01,75 (India+Sri Lanka),$56.7 million (approx)
2013,Madi,2013-12-06,2013-12-13,~1-5 (minimal),Minimal (data limited)
2016,Vardah,2016-12-06,2016-12-13,18 in TN (47 India-wide incl AP),$3.38 billion
2017,Ockhi,2017-11-29,2017-12-06,"245-318 (TN+Kerala, mostly fishermen)",$920 million (approx)
2018,Gaja,2018-11-10,2018-11-19,52-63 (varies by source),$775 million-$1 billion
2020,Nivar,2020-11-23,2020-11-27,14,$600 million (approx)
2020,Burevi,2020-12-01,2020-12-04,<5 in TN,Minimal in TN
2022,Mandous,2022-12-06,2022-12-10,~4-5,Minor (~$50-100M approx)
2022,Asani,2022-05-07,2022-05-12,Minimal in TN,Mainly AP impact
2023,Michaung,2023-12-01,2023-12-06,17-30 (mainly Chennai flooding),~$1 billion+ (Chennai flood losses)
2024,Fengal,2024-11-25,2024-11-30,~10-20 (approx),Data pending/approx
2025,Ditwah,2025-11-26,2025-12-01,Limited in TN (56+ in Sri Lanka),Data pending
